,word,count
1938,water,2372
1264,people,2362
670,food,2306
789,help,1955
1152,need,1853
515,earthquake,1597
86,area,1295
1520,said,1086
1983,would,1025
988,like,1022
377,country,948
61,also,884
760,haiti,871
1394,rain,840
741,government,832
1524,sandy,831
656,flood,820
1990,year,743
945,know,718
808,house,710
1446,relief,668
612,family,664
45,aid,635
872,information,634
1706,supply,630
